IUCA,Texto Consulta Usuario
145,¿Tengo que dar algún comprobante específico?
148,¿El código de barras es para todos los tipos de comprobantes?
148,¿Los comprobantes de qué tipo contienen código de barra?
148,¿Qué letra tienen los comprobantes que incluyen código de barra?
148,¿Qué tipo de factura lleva el código de barra?
148,¿Todos los comprobantes deben tener código de barras?
12,¿Para qué se paga el monotributo?
12,¿Qué contempla el pago del monotributo?
12,¿Qué estoy pagando cuando abono el monotributo?
12,¿Qué se paga en el Monotributo?
12,¿Qué significa pagar el Monotributo?
131,¿Me podrían informar cuáles son los conceptos que deberán abonar los asociados a cooperativas?
131,¿Pago el impuesto integrado siendo socio de una cooperativa de trabajo?
131,¿Qué debo abonar si soy socio de una cooperativa de trabajo?
131,"Los socios de cooperativas de trabajo, ¿qué deben abonar?"
131,"Los socios de cooperativas, ¿qué tienen que pagar?"
131,Si soy asociado de una Cooperativa de Trabajo ¿Qué conceptos abono? 
116,¿En qué casos puedo pagar en efectivo?
116,¿Estoy exceptuado de cumplir con las obligaciones de modo electrónico?
116,¿Puedo pagar en efectivo? 
37,¿Debo realizar algún trámite previo a la solicitud de CUIT de manera personal?
37,¿Es necesario concurrir con el DNI para la solicitud de CUIT de forma presencial?
37,¿Necesito llevar documentación personal para sacar mi CUIT?
37,¿Qué debo realizar para solicitar el CUIT en forma presencial?
37,¿Qué necesito presentar para obtener mi CUIT?
37,"Para ir a tramitar mi CUIT, ¿qué debo llevar?"
37,"Para obtener el CUIT, ¿debo presentar algo?"
144,¿Cómo me puede identificar un cliente que soy Monotributista?
144,¿Debo exhibir alguna documentación en mi local? 
144,¿Qué comprobante debo tener a la vista en mi local?
144,¿Qué documentos avalan mi condición de monotributista?
144,¿Qué formulario debo exhibir en mi local?
144,Si soy Monotributista ¿Debo mostrarlo en mi negocio?
138,¿Qué consecuencias habrá si hay deudas en el sistema?
138,¿Qué deudas figuran en el sitio web de AFIP?
138,¿Qué efectos tienen las deudas de la AFIP?
138,¿Qué sucede si tengo deudas?
138,"Si tengo deudas, ¿Las puedo ver reflejadas en la página de AFIP?"
138,"Tengo deudas, ¿qué efecto va a producir?"
55,¿Dónde puedo obtener el CUR?
55,¿El CUR es igual para todos los Monotributistas?
55,¿Para qué sirve el CUR?
55,¿Qué es el código CUR?
55,¿Qué significa código único de revista?
55,¿Se puede cambiar el código CUR?
55,¿Un código CUR cuántos dígitos debe tener?
71,¿A qué se refiere el concepto de  recategorización?
71,¿Cómo se define la recategorización?
71,¿Cuál es la definición de  recategorización?
71,¿Es obligatoria la recategorización?
71,¿Qué siginifica recategorizarme?
71,¿Siempre debo recategorizarme?
147,¿Cuál es la denominación del comprobante de exportación?
147,¿Las facturas de exportación son diferentes?
147,¿Qué letra llevan los comprobantes de exportación?
147,¿Qué tipo llevan las facturas de exportación?
147,"Las facturas de exportación, ¿llevan una letra específica?"
147,Los comprobantes de exportación ¿Tienen alguna letra específica?
151,¿Cuál es la denominación del remito?
151,¿Los remitos son iguales a los otros tipos de comprobantes?
151,¿Los remitos tienen alguna letra particular?
151,¿Qué letra tienen los remitos?
151,¿Qué tipo llevan los remitos?
151,"Los remitos, ¿llevan una letra específica?"
142,¿Con qué medio puedo emitir las facturas?
142,¿Cuáles son las opciones para facturar?
142,¿Es obligatorio un tipo de factura específico?
142,¿Qué métodos de facturación son válidos?
142,¿Qué tipo de factura puedo realizar?
142,¿Qué tipos de facturación hay?
139,¿Me podrías decir qué operaciones posee el servicio CCMA?
139,¿Qué información obtengo del servicio CCMA?
139,"¿Qué operaciones puedo realizar desde el servicio CCMA?"
139,¿Qué puedo hacer desde el servicio CCMA?
139,"El servicio CCMA, ¿Qué operaciones posee?"
139,No tengo en claro qué puedo hacer en el servicio CCMA.
83,¿Qué información tiene en cuenta AFIP al momento de recategorizarme de oficio?
83,¿Qué normativas se tendrán en cuenta para determinar la recategorización de oficio?
83,¿Qué parámetros tiene en cuenta AFIP para recategorizarme?
83,¿Qué variables se aplicarán para determinar la recategorización de oficio?
83,¿Qué variables se tendrán en cuenta para  la recategorización de oficio?
83,"Para determinar la recategorización de oficio, ¿Qué parámetros se aplicarán?"
88,¿Cuáles son contemplaciones en caso de una recategorización por fiscalización presencial?
88,¿De qué se trata una recategorización por fiscalización presencial?
88,¿Qué consideraciones se realizan ante una recategorización por fiscalización presencial?
88,¿Qué se deberá tener en cuenta ante una recategorización por fiscalización presencial?
88,¿Qué se tiene en cuenta para una recategorización por fiscalización presencial?
88,"En caso de una recategorización por fiscalización presencial, ¿Qué se deberá considerar?"
15,¿Cuáles son mis ingresos brutos?
15,¿Qué comprenden los ingresos brutos?
15,¿Qué considera el monotributo como ingreso bruto?
15,¿Qué son los ingresos brutos para los monotributistas?
15,¿Qué son los ingresos brutos?
30,¿Es lo mismo unidad de explotación que actividad económica?
30,¿Qué diferencia hay entre unidad de explotación y actividad económica?
30,¿Qué es una actividad económica?
30,¿Se computan de la misma forma tanto las unidades como las actividades económicas?
30,¿Se debe contabilizar de la misma forma las unidades económicas y las actividades económicas?
159,¿Debo pagar una multa si no emití la documentación respaldatoria de mis operaciones?
158,¿Hay alguna sanción por no tener las facturas de respaldo?
158,¿Me pueden sancionar por no guardar las facturas de respaldo de mis operaciones?
159,¿Qué pasa si mis operaciones no tienen su respectivo comprobante?
158,¿Qué pasa si no tengo el respaldo de las operaciones que hice?
158,¿Sancionan por no guardar los comprobantes de las operaciones que realicé?
152,¿Estoy obligado a proveer facturas electrónicamente?
152,¿Hay monotribustistas que no están obligados a emitir facturas electrónicas?
152,¿No tengo obligación de hacer la factura electrónica?
152,¿Quienes pueden abstenerse de emitir comprobantes de forma electrónica?
152,¿Quienes pueden no emitir comprobantes electrónicos?
152,¿Quiénes son los sujetos exceptuados de hacer facturas?
152,¿Todos los monotributistas deben hacer comprobantes?
156,¿Qué clase de factura emito estando en el régimen de efector social?
156,"¿Qué tipo de comprobantes pueden hacer los Monotributistas del tipo ""efector social""?"
156,¿Son diferentes las facturas hechas por efectores sociales?
156,El monotributista social ¿Realiza una factura diferente?
156,"Me encuentro inscripto como monotributista bajo la condición efector social, ¿Qué tipo de factura debo confeccionar?"
156,"Si estoy inscrito como efector social, ¿Qué clase de factura emito?"
58,¿Puedo darme alta como empleador en la parte de monotributo?
58,¿Puedo obtener algunos comprobantes electrónicos en la parte de monotributo?
58,¿Qué cosas puedo hacer en el portal Monotributo?
58,¿Qué documentación puedo obtener en el servicio de Monotributo?
58,¿Qué otros trámites puedo realizar en la parte de monotributo además de darle el alta?
58,"¿Qué trámites puedo hacer en ""Mi Monotributo""?"
90,¿Qué  caratacterísticas se debe tener  para ser monotributistas?
90,¿Qué  ciudadanos pueden ser monotributistas?
90,¿Qué  cualidades se debe tener  para ser monotributistas?
90,¿Qué personas pueden ser monotributistas?
90,"¿Sólo las personas humanas se pueden inscribir en el Monotributo?"
90,¿Todas las personas pueden ser Monotributistas?
44,¿En qué casos no es obligatorio constituir domicilio fiscal electrónico?
44,¿Es obligatorio para todo monotributista estar inscripto en el domicilio fiscal electrónico?
44,¿Existe algún tipo de monotributo que no tenga que estar adherido al domicilio fiscal electrónico?
44,¿Quienes no necesitan constituir el domicilio fiscal electrónico?
44,¿Todo monotributista debe inscribirse en el domicilio fiscal electrónico?
44,"Si soy monotributista, ¿sí o sí debo inscribirme al domicilio fiscal electrónico?"
13,¿Cuáles son los conceptos exceptuados de pagar en el Monotributo?
13,¿En qué casos no debo pagar todos los conceptos del Monotributo?
13,¿Estoy exceptuado de pagar todos los conceptos del monotributo?
13,¿Qué conceptos del Monotributo son obligatorios?
13,"Soy profesional, ¿tengo que pagar la parte previsional del Monotributo?"
143,¿Estoy obligado a emitir comprobante manual?
143,¿La factura manual es optativa?
143,¿Puedo hacer facturas electrónicas?
143,¿Tengo que hacer facturación manual o electrónica?
143,¿Todos los Monotributistas están obligados a hacer factura electrónica?
143,"La emisión del comprobante manual, ¿es opcional?"
89,¿Existe el recurso de apelación para aplicar en una exclusión o recategorización de oficio?
89,¿Existe un recurso para presentar contra las resoluciones de exclusión o recategorización de oficio resultado de una fiscalización?
89,¿Habrá algún recurso para presentar contra las resoluciones de exclusión o recategorización de oficio resultado de una fiscalización?
89,"En caso  de resoluciones de exclusión o recategorización de oficio resultado de una fiscalización, ¿ Se puede interponer un recurso en su contra?"
89,Para el caso de  resoluciones de exclusión o recategorización de oficio resultado de una fiscalización ¿Existe un recurso contra estas resoluciones?
97,¿Está permitido a una persona que realiza una actividad por única vez adherirse al Monotributo? ¿Cuál es el tiempo mínimo de permanencia que se debe cumplir antes de realizar la baja del mismo?
97,"¿Las actividades por las que me inscriba en el Monotributo debo realizarlas frecuentemente?"
97,¿Puedo ser Monotributista por un mes?
97,En caso de realizar una actividad por única vez ¿Debo inscribirme en el Monotributo?
97,"En el caso de una persona que realiza una actividad por única vez, ¿Se puede adherir al Monotributo? ¿Cuánto tiempo mínimo de permanencia se debe cumplir antes de realizar la baja del mismo?"
97,"En el caso de una persona que realiza una actividad temporaria, ¿Es posible que se pueda adherirse al Monotributo? ¿Qué tiempo mínimo de permanencia se debe cumplir antes de realizar la baja del mismo?"
97,"Si se tiene el caso de una persona que realiza una actividad temporaria, ¿Está permitido que se pueda adherirse al Monotributo? ¿Cuánto tiempo mínimo de permanencia se debe cumplir antes de realizar la baja del mismo?"
96,¿Es posible  ser empleador siendo monotributista?
96,"¿Hay alguna limitación respecto de ser Monotributista y a su vez, tener empleados a cargo?"
96,¿Puede un empleador ser monotributista?
96,¿Se puede dar el caso de ser  empleador siendo monotributista?
96,"¿Tanto empleados como empleadores pueden ser Monotributistas?"
96,"Si soy Monotributista ¿Puedo ser solamente empleado o también empleador?"
105,¿Me puedo adherir al monotributo si sólo recibo ingresos por derechos de autor?
105,"Mi ingresos son derechos de autor, ¿puedo ser monotributista?"
105,Mis ingresos son solamente por cobro de derecho de autor ¿Debo inscribirme en el Monotributo?
94,¿Es posible realizar exportaciones siendo monotributista?
94,"¿Hay alguna limitación respecto de exportar, siendo Monotributista?"
94,¿Puede  un monotributista  llevar a cabo exportaciones ?
94,¿Puedo exportar y ser Monotributista?
93,¿Qué ocurre con el comercio exterior y el Monotributo?
94,¿Se pueden llevar a cabo exportaciones siendo monotributista?
59,¿Puede una persona adherirse al monotributo si su ingreso depende del alquiler de inmuebles fuera de Argentina?
59,¿Puedo ser Monotributista si obtengo ingresos por locación de inmuebles en el exterior?
59,Los monotributistas adheridos por locación de inmuebles ¿Deben serlo por inmuebles situados en Argentina solamente?
59,"Si una persona tiene como ingreso el alquiler de inmuebles en el exterior, ¿puede inscribirse en el monotributo?"
59,"Si vivo en Argentina pero tengo como ingreso el alquiler de una propiedad en el exterior, ¿puedo inscribirme en el monotributo?"
59,"Un propietario de inmuebles en el exterior cuyo ingreso depende del alquiler de los mismos, ¿puede ser monotributista?"
24,¿Hay que tener en cuenta los servicios como la luz y el gas para computar los alquileres devengados?
24,¿Qué debo tener en cuenta para determinar los alquileres devengados?
24,"¿Se consideran los gastos por servicio (como luz, gas, etc) para establecer los alquileres devengados?"
24,¿Tengo que tener en cuenta la luz y el gas para determinar los alquileres devengados?
24,"Para calcular los alquileres devengados ¿Hay que tener en cuenta gastos como luz, gas o teléfono?"
31,¿Se computan las cargas de familia si dejo de ser responsable inscripto y ahora soy monotributista?
31,¿Son computables las cargas de familias al pasar a ser monotributista?
31,Al pasar de responsable inscripto a monotributista ¿qué sucede con las cargas familiares?
31,Si antes era responsable inscripto y ahora soy monotributista ¿debo calcular las cargas de familias?
31,Si paso de Responsable Inscripto a Monotributista ¿Puedo computar las cargas de familias?
146,¿Cómo facturo si no tengo controlador fiscal?
146,¿Existe algún respaldo para cuando el controlador fiscal falla?
146,¿Qué comprobante doy  si el controlador fiscal no funciona?
146,"Ante un problema con el controlador fiscal, ¿Cómo emito el comprobante?"
146,"Sin controlador fiscal, ¿cómo doy comprobante?"
146,"Tengo problemas con el controlador fiscal, ¿cómo facturo?"
155,¿Qué clase de factura emito estando en el régimen de inclusión social?
155,¿Qué tipo de comprobantes pueden hacer los Monotributistas del régimen de inclusión social y promoción del trabajo independiente?
155,¿Son diferentes las facturas hechas por los adheridos al régimen de inclusión social y promoción del trabajo independiente?
155,"Me encuentro adherido al régimen de inclusión social y promoción del trabajo independiente, ¿Qué tipo de factura debo confeccionar?"
155,"Si estoy inscrito en el régimen de inclusión social y promoción del trabajo independiente, ¿Qué clase de factura emito?"
20,¿Cómo sé cuál es mi actividad principal?
20,¿En qué me baso para saber cuál es mi actividad principal?
20,¿Hay que establecer una actividad principal si se realizan varias?
20,Si realizo más de una actividad ¿Se consideran todas por igual?
20,Si realizo varias actividades ¿debo declarar cuál es la principal?
103,¿Los miembros de una Cooperativa de Trabajo pueden inscribirse en el Monotributo?
103,¿Puedo ser monotributista si soy socio de cooperativa?
103,"Estoy asociado a una cooperativa, ¿puedo inscribirme en el monotributo?"
125,¿Me cobran intereses si pago fuera de término?
125,"¿Si me atraso en el pago, me cobrarán intereses?"
125,"¿Si pago fuera de término, debo abonar intereses?"
102,¿Está permitido ser Monotributista si soy dueño de una industria?
102,¿Me puedo aherir al monotributo si tengo una industria?
102,"Abrí una industria, ¿puedo ser monotributista?"
102,"Soy propietario de una industria, ¿ puedo ser monotributista?"
102,"Tengo una industria, ¿me puedo adherir al monotributo?"
104,¿Existe alguna limitación para ser Monotributista si soy síndico de una sociedad?
104,¿Los síndicos de sociedades pueden inscribirse en el Monotributo?
104,¿Puedo inscribirme en el monotributo siendo síndico de una sociedad?
106,¿Las parcelas deben estar todas juntas para considerarse una sola unidad de explotación?
106,¿Más de 3 unidades de explotación quedan excluídas del monotributo?
106,En el caso de las parcelas ¿Cada una de ellas equivale a una unidad de explotación?
26,¿Debo cambiar de categoría si brindo servicios pero de vez en cuando vendo algún objeto?
26,¿Estar inscripto en servicios permite al menos una vez vende un bien mueble?
26,"Si estoy inscripta por brindar servicios, pero por única vez vendo un objeto  ¿Debo inscribirme en venta de cosas muebles?"
26,Si fabrico y vendo un objeto por única vez ¿Debo categorizarme por esa actividad?
26,"Si no fabrico en serie, ¿debo categorizarme como venta de cosa mueble?"
4,¿Cuánto tiempo tiene que pasar para poderme inscribir de nuevo al monotributo porque afip me excluyó?
4,¿Cuánto tiempo tiene que trancurrir desde que quedé excluido del Monotributo hasta que pueda volver a adherirme?
4,"En caso de quedar excluido del Monotributo, ¿Cuándo puedo volver a serlo?"
4,Si AFIP me excluye del Monotributo ¿Cuándo puedo volver a darme de alta?
4,"Si me excluyeron del monotributo, ¿qué tiempo debo esperar para darme de alta otra vez?"
34,¿Cómo influye la adición de una nueva actividad al Monotributo cuando a su vez pago anticipo por Ganancias por otra actividad?
34,¿De qué manera interviene sumar una actividad en el monotributo al pago de anticipos del impuesto a las ganancias de otra actividad?
34,¿Qué sucede si agrego una actividad al monotributo con respecto al impuesto a las ganancias que pago por otras actividades. Influye además si pago aniticipo por ganancias?
34,"Si agrego una actividad nueva al monotributo, ¿se verán modificados los anticipos por ganancias que pago por otra actividad? ¿De qué forma?"
34,Si realizo actividades para las que debo pagar Impuesto a las Ganancias y para otras Monotributo ¿Qué pasa cuando adiciono otra actividad al Monotributo?
93,"¿Hay alguna limitación respecto de importar, siendo Monotributista?"
93,¿Puedo importar y ser Monotributista?
93,¿Qué ocurre con el comercio exterior y el Monotributo?
93,¿Se puede adherir al Monotributo cuando se realizan importaciones?
93,"En caso de importaciones, ¿se puede darse de alta al Monotributo?"
93,"En caso de importaciones, ¿se puede incorporarse al Monotributo?"
130,¿En qué momento finaliza la obligación de pago del monotributo si ya inicié la baja?
130,"Pedí la baja en el monotributo, ¿a partir de que período cesa la obligación de pago?"
130,Si dejo de ser monotributista ¿Cuándo debo dejar de pagar?
130,Si solicito la baja del monotributo ¿Cuándo cesa la obligación de pago?
130,"Una vez que pedí la baja, ¿cuándo debo dejar de pagar?"
130,"Ya he solicitado la baja, ¿cuándo finaliza la obligación de pago?"
57,¿Qué sucederá con mi saldo a favor cuando deje de ser responsable inscripto y pase a ser monotributista?
57,¿Se me puede devolver el saldo a favor de retenciones que tenía siendo responsable inscripto y ahora monotributista?
57,¿Se pierde el saldo a favor que tengo como responsable inscripto una vez me cambie al monotributo?
57,Si me pasé de Responsable Inscripto a Monotributista ¿Qué hago con el saldo a favor que tenía?
57,"Si siendo responsable inscripto tenía un saldo a favor en el impuesto a las ganancias, ¿qué sucederá con el mismo cuando me traspase al monotributo?"
57,"Si un responsable inscripto con saldo a favor se cambia al monotributo, ¿qué sucede con ese saldo?"
80,¿Qué debo poner en los campos a completar por parámetros que no debo tener en cuenta en mi Monotributo?
80,"¿Cómo se deben completar los campos correspondientes al momento de realizar la adhesión o recategorización al Monotributo, si por el tipo de actividad no se deben considerar determinados parámetros tales como: ingresos brutos, superficie afectada, energía eléctrica, monto de alquileres o precio unitario?"
80,"¿De qué manera se deben completar los campos correspondientes al momento de llevar a cabo la adhesión o recategorización al Monotributo, para el caso de actividades que no se deben considerar determinados parámetros tales como: ingresos brutos, superficie afectada, energía eléctrica, monto de alquileres o precio unitario?"
80,"Si un tipo de actividades no tiene en cuenta parámetros tales como: ingresos brutos, superficie afectada, energía eléctrica, monto de alquileres o precio unitario, ¿Cómo se dejan los campos correspondientes al momento de realizar la adhesión o recategorización al Monotributo?"
80,"¿Cómo se rellenan los campos correspondientes al momento de realizar la adhesión o recategorización al Monotributo, si por el tipo de actividad no se les corresponde determinados parámetros tales como: ingresos brutos, superficie afectada, energía eléctrica, monto de alquileres o precio unitario?"
5,En caso de renunciar ¿puedo optar de nuevo por el monotributo? ¿cuánto tengo que esperar?
5,Si cambié de regimen y dejé de ser monotributista ¿cuánto tiempo tiene que pasar para que pueda volver a serlo?
5,Si era Monotributista y luego me pasé a Responsable Incripto ¿Cuándo puedo volver a ser Monotributista?
5,Si renuncié al monotributo y ahora soy responsable inscripto ¿cuánto tengo que esperar para ser monotributista de nuevo?
5,Si renuncio al Monotributo para optar por otro régimen ¿Puedo volver al monotributo?
101,¿Se puede elegir por el monotributo en la caso de venta de autos usados a nombre propio por cuenta de terceros?
101,¿Se puede optar por el monotributo en el caso de venta de automóviles  usados a nombre propio por cuenta de terceros?
101,"Para el caso de venta de autos usados a nombre propio por cuenta de terceros, ¿Se podrá optar por el Monotributo?"
101,"Si se tiene una venta de automóviles  usados a nombre propio por cuenta de terceros, ¿ Es el Monotributo una opción válida?"
101,Vendo autos usados ¿Puedo ser Monotributista?
54,¿Cómo puedo ver mi credencial de pago?
54,¿De dónde puedo sacar la credencial de pago?
54,¿Puedo descargar la credencial de pago? ¿Qué necesito?
54,¿puedo obtener mi credencial de pago con una clave fiscal de cualquier nivel?
54,¿Qué necesito para ver mi credencial de pago?
54,"Si quiero imprimir credencial de pago, ¿qué debo hacer?"
43,¿Cómo puedo inscribirme de manera online al monotributo?
43,¿Cuál es el paso a paso para adherirme al Monotributo?
43,¿Cuál es el trámite para inscribirme en el Monotributo?
43,"¿Para ser monostributista, debo hacer una inscripción online?"
43,¿Por dónde debo comenzar para ser Monotributista?
43,¿Qué debo hacer para realizar la inscripción al monotributo?
43,¿Qué debo hacer para ser monotributista?
43,¿Qué debo realizar para adherirme al Monotributo?
43,¿Qué pasos debo seguir para adherirme al Monotributo?
43,"Quiero inscribirme en el Monotributo, cumplo con todos los requisitos ¿Cómo debo hacer?"
95,¿Es posible para un monotributista adherido por una actividad realizar otra actividad  bajo la condición de IVA Exento?
95,¿Hay alguna limitación para que un sujeto IVA exento se inscriba en el Monotributo por una actividad diferente?
95,¿Puede un sujeto adherido al Monotributo por una actividad llevar a cabo otra actividad bajo la condición de IVA Exento?
95,¿Un sujeto IVA exento puede ser Monotributista?
95,Un  monotributista inscripto por una actividad ¿puede realizar otra actividad bajo la condición de IVA Exento?
95,Una persona adherida al Monotributo por una actividad ¿puede realizar otra actividad bajo la condición de IVA Exento?
129,¿Es obligatorio el pago de ambos componente previsionales?
129,¿Es posible pagar sólo jubilación y no obra social?
129,¿Puedo pagar sólo obra social y no pagar la jubilación?
129,¿Se puede abonar la obra social y excluir el pago de la jubilación?
129,¿Se puede abonar un componente excluyendo los demás?
129,¿Se puede elegir qué componentes pagar el monotributo?
141,¿Cómo visualizo los beneficios previsionales en el sistema?
141,¿Puedo ver los beneficios previsionales en el servicio CCMA?
141,"He aplicado a los beneficios previsionales de la Ley 25.321, ¿figuran en el servicio CCMA?"
141,"Necesito ver los beneficios previsionales en el CCMA, ¿Qué hago?"
132,¿Hay algún límite para las cooperativas de trabajo inscriptas en el Registro Nacional de Efectores de Desarrollo Local y Economía Social?
132,¿Hay algún tratamiento particular si la cooperativa fue inscrita en el registro?
132,¿Qué sucede con el pago cuando mi cooperativa de trabajo está inscripta en el Registro Nacional de Efectores de Desarrollo Local y Economía Social?
132,"Una vez que se anota  la cooperativa en el registro nacional de efectores, ¿tendrá algún tratamiento especial?"
132,"Ya se inscribió la cooperativa en el registro, ¿existe algún tratamiento particular?"
81,"¿Se considera recategorización, si se modifica la condición de Monotributo a Monotributo Régimen de inclusión social y promoción del trabajo independiente o viceversa?"
81,"En el caso de cambio de la condición de Monotributo a Monotributo Régimen de inclusión social y promoción del trabajo independiente o viceversa, ¿Se considera recategorización?"
81,"Para el caso de modificación de la condición de Monotributo a Monotributo Régimen de inclusión social y promoción del trabajo independiente o viceversa, ¿Es una recategorización?"
81,Pasar de Monotributo a Monotributo del Régimen de Inclusión social y promoción del trabajo independiente ¿Es recategorizarse?
81,"Si se tiene el caso de cambio de la condición de Monotributo a Monotributo Régimen de inclusión social y promoción del trabajo independiente o viceversa, ¿Se tiene recategorización?"
76,¿Cómo me recategorizo si aún no transcurrieron 12 meses desde mi inscripción? 
76,"¿Cómo se debe de realizar el cálculo a los efectos de la recategorización, en el caso que no transcurrieron 12 meses desde el inicio de una actividad?"
76,"¿De qué forma se lleva a  cabo el cálculo a los efectos de la recategorización, en el caso que no se supere el año de antiguedad realizando una actividad?"
76,"Para el caso de una persona que realiza una actividad y todavía no supera el año, ¿De qué forma se realiza el cálculo a los efectos de la recategorización?"
76,"Si desde el inicio de una actividad no han pasados los doce meses, ¿Cómo se lleva a cabo el cálculo a los efectos de la recategorización?"
76,"Si se desarrolla una  actividad y no sean transcurrieron 12 meses, ¿De qué manera se realiza el cálculo a los efectos de la recategorización?"
49,"¿Debo poner un ""cero"" en los parámetros cuando por mi actividad no debo tenerlos en cuenta?"
49,¿Qué debo escribir en los espacios destinados a los parámetros si por mi actividad no estoy a ingresarlos?
49,¿Qué es lo que debo ingresar cuando no estoy obligado a contestar?
49,En caso que por mi actividad no esté obligado a considerar los parámetros ¿Cómo debo completar estos campos?
49,"En los campos en los que no es necesario contestar, ¿debo poner algo?"
49,"Si no necesito poner ingresos brutos, ¿qué debo poner en su lugar?"
0,"¿Puedo dar de baja mi monotributo y transcurrido un período de tiempo, darme de alta nuevamente?"
0,¿Puedo darme de baje por el tiempo en que no realice la actividad luego darme de alta cuando la retome?
0,¿Puedo suspender mi inscripción hasta que retome mi actividad?
0,¿Se puede interrumpir la inscripción del monotributo hasta que vuelva a ejercer mi actividad?
0,"Si dejo de trabajar por un tiempo, ¿puedo darme de baja y luego volver a darme de alta?"
21,¿Cómo se consideran los parámetros físicos si mi actividad la realizo en el mismo lugar que vivo?
21,¿Cómo son los parámetros a tener en cuenta si trabajo en el mismo lugar en que vivo?
21,¿Debo tener en cuenta los parámetros si realizo la actividad en mi casa?
21,Si trabajo desde mi hogar ¿cómo calculo la superficie y el consumo de la luz para la categorización?
21,"Si trabajo en mi casa, ¿cómo computo los parámetros de luz y superficie?"
22,¿Qué pasa con los parámetros físicos si trabajo a domicilio?
22,En caso de no tener un espacio físico ¿Cómo considero este parámetro?
22,"No tengo local, ¿Qué parámetros tengo que tener en cuenta?"
22,Si presto servicios a domicilio ¿qué debo considerar para categorizarme?
22,"Si voy a domicilio, ¿qué pasa con los parámetros físicos?"
3,¿Me puedo dar de alta de nuevo si me había dado de baja por cese de actividad?
3,¿Me puedo volver a adherir si me di de baja?
3,"Luego de haberme dado de baja el monotributo por cese de actividad, ¿Puedo volver a darme de alta?"
3,"Si me di de baja el monotributo por que ya no realizaba la actividad, ¿Puedo volver a darme de alta nuevamente? ¿Cuánto tiempo tengo que esperar?"
3,"Si me di de baja, ¿es posible darme de alta otra vez?"
73,"¿Le corresponde la inscripción en el Régimen General, para el caso que transcurrió un semestre desde la inscripción y al anualizar los ingresos brutos para la recategorización, se sobrepasó el límite de la categoría máxima?"
73,¿Puedo quedar excluido del Monotributo por superar los ingresos máximos establecidos por más que lleve menos un año como inscripto?
73,"¿Se puede inscribir en el Régimen General, si pasados un semestre desde la inscripción y al anualizar los ingresos brutos para la recategorización, se supera el límite de la categoría máxima?"
73,"Para el caso que transcurrió un semestre desde la inscripción y al anualizar los ingresos brutos para la recategorización, se supera el límite de la categoría máxima, ¿corresponde la inscripción en el Régimen General?"
73,"Si pasados un semestre desde la inscripción y al anualizar  los ingresos brutos para la recategorización, se supera el límite de la categoría máxima, ¿Se permite la inscripción en el régimen general?"
99,"¿Es posible para un empleado en relación de dependencia, que se pueda adherir al monotributo por una actividad independiente?"
99,¿Está permitido para el caso de un ciudadano en relación de dependencia adherirse al monotributo por una actividad independiente?
99,"¿Puedo ser empleado en relación de dependencia y a su vez, adherirme al monotributo por otra actividad?"
99,"Para el caso de un trabajador en relación de dependencia y que realiza otra actividad independiente, ¿Se puede adherirse al monotributo?"
99,Si soy empleado en relación de dependencia ¿Mi actividad por la que me doy de alta en el monotributo debe estar relacionada?
99,Si soy Monotributista ¿Puedo iniciar una relación de dependencia?
28,¿Es posible hacer importaciones siendo monotributista?
28,¿Existe algún impedimento para realizar importaciones si soy Monotributista?
28,¿Puedo traer productos del extranjero para vender?
28,Antes de inscribirme en el monotributo ¿Puedo haber realizado importaciones?
28,Si soy monotributista ¿puedo importar bienes?
17,¿Cuáles son los ingresos que debo considerar si soy empleado en relación de dependencia?
17,¿Debo considerar mis ingresos por la actividad que estoy inscripto en Monotributo y los que recibo por estar en relación de dependencia?
17,¿Qué ingresos tengo que tener en cuenta si además de mi actividad soy empleado?
17,"En caso de también ser empleado, ¿qué ingresos debo considerar para determinar mi categoría?"
17,"Si a su vez soy empleado, ¿qué ingresos debo declarar para categorizarme en el monotributo?"
115,¿Cómo inscribo en el monotributo al condominio?
115,¿Es posible la adhesión de los condominios al monotributo?
115,¿Hay restricciones en el Monotributo para los condominios?
114,¿Cómo me inscribo siendo condómino?
114,¿Cuál es el trámite para darme de alta en el Monotributo siendo condómino?
114,¿Cuáles son los pasos para adherirme al Monotributo como condómino?
112,¿Puedo tener una actividad con iva exento si soy monotributista?
112,¿Qué hago si soy Monotributista e inicio una actividad por la que debería ser IVA exento?
112,Como monotributista ¿Puedo realizar otra actividad bajo la condición de IVA exento?
32,¿Qué ocurre con el crédito fiscal si siendo responsable inscripto paso a ser monotributista?
32,¿Qué pasa con el crédito fiscal si dejo de ser monotributista y paso a ser responsable inscripto?
32,¿Qué puedo hacer con el crédito fiscal cuando cambio de Responsable Inscripto a Monotributista?
32,"Si estoy en condiciones para optar por el monotributo siendo responsable inscripto, ¿debo devolver el crédito fiscal?"
32,Si paso de Responsable Inscripto a Monotributista ¿Puedo computar el crédito fiscal?
107,"¿Un Monotributista tiene que pagar Impuesto a los Bienes Personales?"
107,"En caso de corresponder, si soy monotributista, ¿Debo presentar la declaración jurada de Impuesto a los Bienes Personales?"
107,"Si soy monotributista y me corresponde presentar el Impuesto a los Bienes Personales ¿Cómo tengo que hacer la declaración jurada?"
110,¿Puedo optar por cambiar de responsable inscripto a monotributo?
110,Si estoy inscripto en IVA ¿Puedo adherirme al monotributo?
