IUCA,Texto Respuesta AFIP
54,"Para imprimir la credencial de pago deberá acceder desde el portal Monotributo, de la siguiente forma:

1. Presione el botón ""Comenzar"".

2. Ingrese con CUIT y clave fiscal.

3. Seleccione el ítem ""Ver Constancia"".

4. Presione el botón ""Ver Credencial"" correspondiente a la Credencial de pago. La misma será descargada en formato PDF.

Para realizar poder efectuar los pasos indicados deberá contar como mínimo con ""Clave Fiscal"" habilitada con Nivel de Seguridad 2.



Fuente: CIT AFIP"
55,"El Código Único de Revista (CUR) es un código que refleja la condición en la que el monotributista se ha inscripto.


Consta de 7 dígitos, que relaciona:

1° y 2°: Condición frente al impuesto integrado, categoría que reviste.

3° y 4°: Condición frente al aporte de seguridad social.

5° y 6°: Condición frente a la obra social y cantidad de adherentes.

7°: Dígito verificador.

Este código se encuentra en la credencial de pago (F.152 - Personas humanas y sucesiones indivisas / F.157- Régimen de Inclusión Social y Promoción del Trabajo Independiente) y es utilizado por el banco para cobrar el impuesto.




Fuente: CIT AFIP"
56,"Para realizar el cambio de condición de ""Responsable Inscripto"" a ""Monotributista"" se deberá:


1.- Solicitar la adhesión al Monotributo: para ello se deberá acceder al portal de Monotributo , y luego realizar los siguientes pasos:




1. Presione el botón ""Comenzar"".

2. Acceder con CUIT y clave fiscal.

3. Seleccionar el botón ""Darse de alta"".

4. Se deberá de completar la información solicitada por el sistema.

5. El sistema solicitará notificarse de la presentación de la Declaración jurada de Salud (Dictamen 56108 de la Dirección General de Asuntos Jurídicos de la ANSeS) ante ANSES.

6. Finalmente se visualizará la información ingresada para su confirmación.

El sistema emitirá el formulario de adhesión (F.184/F) y la credencial de pago.

La adhesión al mismo implica la baja automática del carácter de responsable inscripto en el impuesto al

valor agregado y la modificación automática de la categoría de revista de los trabajadores autónomos

inscriptos con anterioridad a dicha adhesión.




2.- Realizar la baja en el Impuesto a las Ganancias, en caso de corresponder. Para ello se deberá acceder del siguiente modo:



1.- Acceder con CUIT y clave fiscal desde la web Institucional www.afip.gob.ar



2.- Ingresar al servicio ""Sistema Registral""



3.- Seleccionar el menú ""Registro tributario"" y luego la opción ""Baja de impuestos"".



4.- Se deberá de informar el período (mes - año) y el motivo de baja.



5.- Finalmente el sistema emitirá el acuse de recibo correspondiente a la baja informada.


Fuente: CIT AFIP"
57,"El saldo a favor excedente podrá ser objeto de devolución.

Fuente: CIT AFIP"
58,"Se podrá acceder, entre otras opciones, a:


a) Adherir al régimen: ""Alta Monotributo"".

b) Acreditar la condición de pequeño contribuyente: ""Constancias/Constancia de CUIT"".

c) Cambiar de domicilio fiscal: ""Datos personales/Domicilios"".

d) Modificar datos, por ejemplo, de actividad, altas o bajas de integrantes del grupo familiar primario, etc.: ""Datos del Monotributo/Modificar datos del Monotributo"".

e) Realizar la recategorización semestral: ""Datos del Monotributo/Recategorización"".

f) Cancelar la inscripción: ""Datos del Monotributo/Darse de baja del Monotributo"".

g) Obtener la credencial para el pago: ""Constancias/Credencial de pago"".

h) Visualizar cuantía y estado de cumplimiento de obligaciones mensuales (pagos, saldos y cálculo de deuda): ""Inicio/Estado de cuenta"".

i) Constituir el domicilio fiscal electrónico: ""Inicio/Domicilio Fiscal Electrónico"".

j) Emitir comprobantes electrónicos: ""Facturación/Factura Electrónica"".

k) Solicita el alta como empleador: ""Empleador/Voy a tener empleados"".


Fuente: AFIP"
59,"Una persona humana residente en el país, que obtenga ingresos provenientes de la locación de inmuebles situados en el exterior, se encuentra habilitada para adherirse o bien para continuar en el Régimen Simplificado para Pequeños Contribuyentes (Monotributo).
Dicha situación será viable, en la medida que se verifiquen los parámetros fijados en el respectivo marco normativo, entre ellos, total de ingresos brutos anuales y cantidad máxima de unidades de explotación.
Fuente: CIT AFIP"
60,"La credencial para el pago deberá ser sustituida con motivo de la recategorización semestral y en los casos en que se produzcan modificaciones en los datos que determinan el Código Único de Revista (CUR).
Dichas modificaciones podrán verificarse en cualquiera de sus componentes:
a) Impuesto Integrado: por error o categorización de oficio.
b) Cotizaciones Previsionales Fijas: por quedar obligado o dejar de estar obligado de ingresar cotizaciones a la seguridad social al alcanzar la edad de 18 años, iniciar o finalizar un contrato de trabajo ejecutado en relación de dependencia, acceder a un beneficio de jubilación, aportar a una caja profesional, etc.
c) Obra Social: por ejercicio o desistimiento de la opción de Obra Social y/o por alta o baja de integrantes del grupo familiar primario.
La obtención de la nueva credencial para el pago -Formulario F. 152 o F. 157, según corresponda-, se efectuará mediante transferencia electrónica accediendo al portal Monotributo en la opción ""Datos del monotributo"".

Fuente: Art. 9 RG 4309/18"
61,"Para informar la baja de un adherente a la obra social se deberá:

1. Acceder al portal Monotributo.

2. Seleccionar el botón ""Comenzar"".

3. Ingresar la CUIT y clave fiscal.

4. Seleccionar el ítem ""Datos del Monotributo""

5. Acceder en el botón ""Modificar mis datos"".

6. Se visualizarán los 5 pasos para realizar la modificación correspondiente. En el paso 4 se accederá a la información relacionada a la Obra social, donde el sistema expondrá el listado de los miembros de la familia incorporados a la obra social con la posibilidad de eliminar los datos del adherente cuya baja se desea realizar.

7. En el último paso se visualizarán la totalidad de los datos ingresados para ser confirmados.

8. Finalmente se obtendrá el F.184 de modificación de datos y la nueva credencial de pago.

Las cotizaciones al Régimen Nacional de Obras Sociales, originadas en la denuncia de integrantes del grupo familiar primario, resultan de pago obligatorio y por el mismo importe, hasta el mes en que el pequeño contribuyente comunique las modificaciones que hubieren tenido lugar.
Fuente: CIT AFIP"
62,"Para modificar la actividad económica deberá ingresar a través la página web www.afip.gob.ar, al servicio con clave fiscal ""Sistema Registral"", seleccionando la opción ""Registro Tributario"" y luego ""Actividades"".
También en dicha opción, se definirá, en caso de registrar más de una actividad, cual será la principal, presionando el botón ""subir"" o ""bajar"" dependiendo del orden de la misma. Se entenderá que será la principal aquella que tenga número de orden 1.
Si se realiza el cambio de una actividad, deberá realizar una modificación de datos a los efectos de actualizar su situación en el Monotributo. Para realizar dicha modificación deberá de ingresar al portal ""Monotributo"", en el ítem ""Datos del monotributo"", luego seleccionar el botón ""Modificar mis datos"" y completar los datos solicitados por el sistema.

Fuente: Art. 14 Ley 26.565 y Art. 64 RG 4309/18"
63,"Para modificar su situación realice los siguientes pasos:
1. Acceda al portal Monotributo.
2. Seleccione el botón ""Comenzar"".
3. Ingrese la CUIT y clave fiscal.
4. Seleccione el ítem ""Datos del Monotributo"".
5. Acceda en el botón ""Modificar mis datos"".
6. Complete los datos solicitados por el sistema, en el paso 3 deberá de tildar la opción ""Empleado en relación de dependencia"" debiendo además de informar la CUIT de su empleador.
7. El sistema expondrá todos los datos consignados para su confirmación.
8. Finalmente obtendrá el F.184 de modificación de datos, y la nueva credencial de pago.

La modificación surtirá efectos a partir del período fiscal indicado al momento de confeccionar la declaración jurada.

Fuente: CIT AFIP"
64,"Para modificar su situación realice los siguientes pasos:
1. Acceda al portal Monotributo.
2. Seleccione el botón ""Comenzar"".
3. Ingrese la CUIT y clave fiscal.
4. Seleccione el ítem ""Datos del Monotributo"".
5. Acceda en el botón ""Modificar mis datos"".
6. Complete los datos solicitados por el sistema, en el paso 3, deberá tildar la opción ""jubilado"" debiendo además seleccionar la ley por la cual obtuvo el beneficio jubilatorio. (Ley 24.241 ó Ley 18037/38)
7. El sistema expondrá todos los datos consignados para su confirmación.
8. Finalmente obtendrá el F.184 de modificación de datos, y la nueva credencial de pago.
La modificación surtirá efectos a partir del período fiscal indicado al momento de confeccionar la declaración jurada.

Fuente: CIT AFIP"
65,"Para modificar su situación realice los siguientes pasos:
1. Acceda al portal Monotributo.
2. Seleccione el botón ""Comenzar"".
3. Ingrese la CUIT y clave fiscal.
4. Seleccione el ítem ""Datos del Monotributo"".
5. Acceda en el botón ""Modificar mis datos"".
6. Complete los datos solicitados por el sistema, en el paso 3, deberá tildar la opción ""Aporto a una Caja Previsional Provincia"", debiendo además de informar la CUIIT de la caja previsional.
7. El sistema expondrá todos los datos consignados para su confirmación.
8. Finalmente obtendrá el F.184 de modificación de datos y la nueva credencial de pago.
La modificación surtirá efectos a partir del período fiscal indicado al momento de confeccionar la declaración jurada.
Fuente: CIT AFIP"
66,"Para realizar el cambio de la obra social seleccionada, deberá de dirigirse a la sede de la Obra Social por la cual desea optar, completar el formulario correspondiente y suscribir el libro rubricado.
La cobertura de la nueva Obra Social comienza el primer día del tercer mes desde la fecha en que se realizó la opción de cambio. Ninguna Obra Social habilitada para recibir a beneficiarios monotributistas puede rechazar su afiliación.
Para mayor información comunicarse con la Superintendencia de Servicios de la Salud:
Telef: 0800-222-72583 (SALUD).
Web: http://www.sssalud.gob.ar/

Fuente: Res. Gral. 576/04 SSS, Decreto 504/98 y art. 69 Decreto 1/10"
67,"Para agregar a un adherente a la obra social realice los siguientes pasos:
1. Acceda al portal Monotributo.
2. Seleccione el botón ""Comenzar"".
3. Ingrese la CUIT y clave fiscal.
4. Seleccione el ítem ""Datos del Monotributo""
5. Acceda en el botón ""Modificar mis datos"".
6. Complete los datos solicitados por el sistema, en el paso 4 podrá ingresar el número de CUIL del adherente y al presionar el botón ""Buscar"" deberá de informar el vinculo familia (Cónyuge ó Hijo/a ó menor/tutelado)
7. Visualizará la totalidad de los datos ingresados para ser confirmados.
8. Finalmente obtendrá el F.184 de modificación de datos y la nueva credencial de pago.
La modificación surtirá efectos a partir del período fiscal indicado al momento de confeccionar la declaración jurada.
Deberá tener en cuenta que se le adicionará $ 689.- por cada adherente que incorpore.
La Declaración Jurada de Salud ""Declaración Jurada de Trabajadores Autónomos/Monotributistas que se incorporan al SIPA"" se encuentra publicada en: www.afip.gob.ar/formularios/ . Deberá ser descargada completada y presentada, junto con el F184, ante la ANSES.
Fuente: CIT AFIP"
68,"El cambio de domicilio se realizará mediante transferencia electrónica de datos, a través del sitio Web institucional www.afip.gob.ar , ingresando con ""Clave fiscal"" al servicio ""Sistema Registral"" y accediendo a la opción ""Registro Tributario"" en el ítem ""F420/D Declaración de domicilios"".
Una vez presentado el formulario, AFIP procederá a remitir a través de correo postal una notificación con el ""código de confirmación del domicilio"", el que deberá ser ingresado con carácter obligatorio en el servicio ""Sistema Registral"" opción ""Registro Tributario - Confirmación del Domicilio"" - a los fines de confirmar el alta del domicilio en los registros del Organismo, el que revestirá el carácter de ""Confirmado"".
Tenga en cuenta que para realizarlo deberá contar con una Clave fiscal con un nivel mínimo de seguridad 3 (tres).
De no mediar esta confirmación en un lapso de 30 días, el trámite será archivado y el domicilio será inexistente.
Cabe destacar que el organismo podrá limitar la modificación en función de la categoría SIPER asignada al contribuyente. En los casos en que se encontrare imposibilitado de realizar el cambio de domicilio, deberá denunciarse -exclusivamente- ante la dependencia de este Organismo con jurisdicción sobre el domicilio que se pretende modificar, observando al efecto el procedimiento previsto en el primer párrafo del artículo 10 de la RG 10/97, a cuyos fines se deberá aportar la documentación indicada en el artículo 3 de la mencionada resolución.
Fuente: Art. 29 RG 2109/06"
69,"En caso de no haber recibido el código de confirmación del domicilio, a efectos de informarlo, deberá dirigirse a la agencia de la AFIP correspondiente al domicilio fiscal que se quiere declarar.

Deberá presentarse el formulario 460/F ó 460/J (el que corresponda según el tipo de persona que se trate) acompañado de al menos una de las constancias acrediten la existencia y veracidad del domicilio fiscal denunciado de las que se indican a continuación:

a. Documento nacional de identidad argentino.

b. Certificado de domicilio expedido por autoridad competente.

c. Acta de constatación notarial.

d. Comprobante de un servicio a nombre del contribuyente o responsable.

e. Título de propiedad o contrato de alquiler o de ""leasing"", del inmueble cuyo domicilio se denuncia.

f. Extracto de cuenta bancaria o del resumen de tarjeta de crédito, cuando el solicitante sea el titular de tales servicios.

g. Habilitación o autorización municipal equivalente, cuando la actividad del solicitante se ejecute en inmuebles que requieran de la misma.

h. Certificado de Vivienda Familiar emitido por la Agencia de Administración de Bienes del Estado, entregado por la Administración Nacional de la Seguridad Social (ANSES).

i. Estatuto o contrato social y, en su caso, el acta de directorio o del instrumento emanado del órgano máximo de la sociedad, o instrumento constitutivo inscripto y actualizado, en los casos que el domicilio fiscal declarado coincida con el domicilio legal obrante en el citado documento.



En situaciones especiales o cuando por circunstancias particulares el solicitante no pudiera aportar ninguno de los elementos detallados, la dependencia interviniente podrá aceptar otros documentos o comprobantes que, a su criterio, acrediten fehacientemente el domicilio fiscal denunciado.


Fuente: AFIP"
70,"Para realizar la recategorización se deberá:

1) Ingresar al portal web de Monotributo.

2) Indicar CUIT, clave fiscal y presionar ""Aceptar"".

3) Seleccionar la opción ""Recategorizarme"", (allí también se podrá observar en carácter informativo, los datos que posee este Organismo de su situación tributaria)

4) Seleccionar la opción ""Continuar recategorización"".

5) Indicar la opción ""Imprimir credencial"".

6) Completar el formulario de Declaración Jurada 184, informando los nuevos parámetros.

7) El sistema emitirá el F.184 como comprobante de la recategorización realizada y la nueva Credencial de Pago.

IMPORTANTE: La opción ""Recategorización"" sólo se encontrará disponible hasta el día 20 de los meses de enero y julio, conforme lo establecido por el Art. 20 RG 4309/18.

Para acceder a la Guía Paso a Paso ingrese aquí.

Fuente: CIT AFIP"
71,"La recategorización es una obligación que deben cumplir los monotributistas cuando sus parámetros sean superiores o inferiores a la categoría declarada. Dicha recategorización se realiza en forma semestral.

Fuente: Art. 9 Ley 26.565"
72,"La recategorización semestral se efectuará hasta el día 20 de los meses de julio y enero, respecto de cada semestre concluido en junio y diciembre respectivamente.
Cuando la fecha de vencimiento indicada en el párrafo anterior coincida con día feriado o inhábil, la misma se trasladará al día hábil inmediato siguiente.
Las obligaciones de pago resultantes de la recategorización, tendrán efectos para el período comprendido entre el primer día del mes siguiente al de la recategorización y el último día del mes en que deba efectuarse la próxima recategorización.
Fuente: Art. 20 RG 4309/18"
73,"No, ya que si se superan los límites de la última categoría por anualización de acuerdo con la actividad desarrollada por el contribuyente, quedará encuadrado en esa última categoría hasta la próxima recategorización semestral. Por lo tanto, no queda excluido del monotributo y permanece en ese régimen hasta la siguiente recategorización.
Fuente: Art. 15 Decreto 1/10"
74,"Se podrán visualizar las inconsistencias que deberán resolverse con anterioridad a la recategorización, ingresando al portal para monotributistas (monotributo.afip.gob.ar), con la clave fiscal.


Fuente: CIT AFIP"
75,"A los efectos de la recategorización, se deberán considerar los ingresos brutos acumulados, la energía eléctrica consumida y los alquileres devengados en los 12 meses inmediatos anteriores, así como la superficie afectada a la actividad en ese momento.
Asimismo, se observará lo siguiente:
- La energía eléctrica computable será la que resulte de las facturas cuyos vencimientos para el pago hayan operado en el período que corresponda.
- Cuando se utilicen para el desarrollo de la actividad distintas unidades de explotación en forma no simultánea:
1. El parámetro superficie se determinará considerando el local, establecimiento u oficina de mayor superficie afectada a la actividad,
2. el parámetro energía eléctrica consumida será el mayor de los consumos en cualquiera de las unidades de explotación, aún cuando no coincida con la que se consideró para la determinación del parámetro superficie, y
3. el parámetro alquileres devengados será igual a la sumatoria de los montos devengados correspondientes a la unidad de explotación por la que se hubiere convenido el alquiler mayor.

Podrá visualizar la tabla de categorías ingresando aquí.

Fuente: Art. 8 Ley 26.565 y Art. 15 RG 4309/18"
76,"De haber transcurrido seis meses completos o más desde el inicio de actividades al momento de la recategorización, se deberá proceder a anualizar los parámetros a fin de determinar la recategorización.
Para esto se deberá sumar los ingresos de los meses transcurridos desde el inicio de actividad, hasta la finalización del semestre calendario por el que se recategoriza, ese importe total deberá dividirse por la cantidad de dichos meses y multiplicarse por 12.
De no haber transcurrido seis meses completos, se mantendrá la categorización inicial hasta el momento de la primera recategorización
Se podrá conocer cuándo se debe cumplir con la recategorización ingresando aquí.

Fuente: Art. 12 Ley 26.565 y Art. 15 Dto. 1/10"
77,"El importe correspondiente a la nueva categoría, se deberá ingresar a partir del mes siguiente al de la recategorización.
Fuente: Art. 20 RG 4309/18"
78,"Los pequeños contribuyentes no están obligados a cumplir con la recategorización cuando:

a) Deban permanecer en la misma categoría del Régimen Simplificado
b) Se trate del inicio de actividades, y por el período comprendido entre el mes de inicio hasta que no haya transcurrido un semestre calendario completo. En este supuesto, los sujetos ingresarán el importe que resulte de la aplicación del procedimiento previsto para el inicio de actividad.
Fuente: Art. 21 RG 4309/18"
79,"Serán sancionados con una multa del 50% del impuesto integrado y el componente previsional que les hubiera correspondido abonar, los Monotributistas que, como consecuencia de la falta de presentación de la declaración jurada de recategorización, omitieren el pago del tributo que les hubiere correspondido.
Se establece también igual sanción para los casos en que la declaración jurada categorizadora o recategorizadora presentadas sean inexactas.
La AFIP procederá a recategorizar de oficio, liquidando la deuda resultante.
En el caso que el pequeño contribuyente acepte la recategorización de oficio, dentro del plazo de 15 días de su notificación, la sanción aplicada quedará reducida de pleno derecho a la mitad.

Si el pequeño contribuyente se recategorizara antes que la AFIP procediera a notificar la deuda determinada, quedará eximido de la sanción prevista.


Fuente: Art. 26 Ley 26.565"
80,"Si de acuerdo a la actividad, no se deben considerar determinados parámetros, los mismos deberán ser informados con valor 1 (uno).

Fuente: CIT AFIP"
81,"En este caso no se considera una recategorización ya que no se trata de un cambio de categoría sino de régimen.

Fuente: CIT AFIP"
82,"La recategorización de oficio procederá cuando AFIP constate que el sujeto no cumplió con la obligación de recategorización, o que la recategorización cumplida por el sujeto resulte inexacta.

A los efectos de la recategorización de oficio, cuando este Organismo verifique que el pequeño contribuyente ha efectuado compras y gastos inherentes al desarrollo de la actividad de que se trate, adquirido bienes, realizado gastos de índole personal o posea acreditaciones bancarias, por un valor que supere el importe de los ingresos brutos anuales máximos admitidos para la categoría en la cual está encuadrado, la nueva categoría a asignar será la que corresponda al importe de ingresos brutos anuales resultante de la sumatoria entre el monto de las compras y gastos inherentes a la actividad, o el monto de los bienes adquiridos y los gastos de índole personal realizados, o de las acreditaciones bancarias detectadas más el 20% o el 30% de dicho valor, según se trate la actividad de locación, prestación de servicios y/o ejecución de obras, o de venta de cosas muebles, respectivamente.

Fuente: Arts. 22 y 23 RG 4309/18"
83,"Los parámetros a considerar para que proceda la recategorización de oficio serán, las compras y gastos inherentes al desarrollo de la actividad de que se trate, la adquisición de bienes, los gastos de índole personal o acreditaciones bancarias, por un valor que supere el importe de los ingresos brutos anuales máximos admitidos para la categoría en la cual está encuadrado.

La nueva categoría a asignar será la que corresponda al importe de ingresos brutos anuales resultante de la sumatoria entre el monto de las compras y gastos inherentes a la actividad, o el monto de los bienes adquiridos y los gastos de índole personal realizados, o de las acreditaciones bancarias detectadas más el 20% o el 30% de dicho valor, según se trate la actividad de locación, prestación de servicios y/o ejecución de obras, o de venta de cosas muebles, respectivamente.
Cuando AFIP constate los parámetros mencionados en el primer párrafo, procederá la recategorización de oficio
Fuente: Art. 23 RG 4309/18"
84,"Se notificará en el Domicilio Fiscal Electrónico, el primer día hábil de los meses de agosto y febrero de cada año, el acto resolutivo que recategoriza al monotributista, a partir de la información obrante en los registros de AFIP y en función de los controles efectuados por sistemas informáticos.


Asimismo, el monotributistas podrá consultar los motivos accediendo al servicio con clave fiscal ""Monotributo - Recategorización de Oficio - (MOREO)"". Para ello se requerirá clave fiscal habilitada con nivel de seguridad 2, como mínimo.

Fuente: Arts. 26 y 27 RG 4309/18"
85,"Se podrán consultar los motivos accediendo al servicio con clave fiscal ""Monotributo - Recategorización de Oficio - (MOREO)"". Para ello se requerirá clave fiscal habilitada con nivel de seguridad 2, como mínimo.

En caso que el pequeño contribuyente acepte la recategorización de oficio, a fin de cumplir con las obligaciones de pago resultantes, deberá optar por la categoría asignada de oficio, accediendo para ello a través del portal para monotributistas (monotributo.afip.gob.ar).

Fuente: Art. 26 RG 4309/18"
86,"Confirmada la decisión administrativa, la recategorización de oficio producirá efectos a partir del segundo mes inmediato siguiente al último mes del semestre calendario respectivo, y las obligaciones de pago resultantes serán de aplicación al período comprendido entre el primer día del mes siguiente al de la recategorización y el último día del mes en que deba efectuarse la siguiente recategorización.
Con motivo del nuevo ""Código único de revista"" (CUR) generado, el sujeto recategorizado deberá sustituir la credencial utilizada para el pago de sus obligaciones y proceder a imprimir, de corresponder, el Formulario Nº 960/D - ""Data Fiscal"" con arreglo a su nueva categoría de revista.
Fuente: Art. 32 RG 4309/18"
87,"Se podrá interponer el recurso de apelación previsto en el Artículo 74 del Decreto 1397/79, contra:
a) La recategorización por fiscalización presencial, presentando un escrito ante el funcionario que dictó el acto recurrido.
b) La recategorización de oficio por controles sistémicos, ingresando al servicio con clave fiscal ""Monotributo - Recategorización de Oficio- (MOREO)"", opción ""Presentación del recurso de apelación Art. 74 Decreto N° 1397/79"", o a través del portal para monotributistas (monotributo.afip.gob.ar).
El aludido recurso de apelación deberá interponerse dentro de los 15 días posteriores a la notificación de la recategorización de oficio.
Como constancia de la presentación a través del servicio web, el sistema emitirá un acuse de recibo y le asignará un número de solicitud, considerándose admitido formalmente el recurso.
De comprobarse errores, inconsistencias o archivos defectuosos, la presentación será rechazada automáticamente, generándose una constancia de tal situación.
El solicitante podrá efectuar el seguimiento de su presentación mediante el mencionado servicio web, opción ""Consultar estado de apelación Art. 74 Decreto N° 1397/79"" o desistir del referido recurso accediendo a la opción ""Desistir del recurso de apelación Art. 74 Decreto N° 1397/79"".

Fuente: Arts. 28 y 29 RG 4309/18"
88,"El funcionario o inspector actuante notificará al contribuyente y/o responsable, lo siguiente:
a) El incumplimiento a la obligación de recategorización, o que la recategorización cumplida y los elementos que acreditan la recategorización de oficio.

b) La categoría determinada.

c) La liquidación de la deuda en concepto de diferencias de impuesto integrado y cotización previsional, con más sus accesorios.

d) La referencia a que la conducta observada encuadra en la infracción del 50% del impuesto integrado y de la cotización previsional que les hubiera correspondido abonar, por la omisión del el pago del tributo que les hubiere correspondido, prevista en el inciso b) del artículo 26 de la Ley de Monotributo, y que, si acepta la liquidación practicada y se recategoriza voluntariamente, quedará eximido de dicha sanción.
El contribuyente y/o responsable podrá, en el mismo acto de la notificación o dentro de los 10 días posteriores, presentar formalmente su descargo indicando los elementos de juicio que hacen a su derecho.
El juez administrativo interviniente -previa evaluación del descargo presentado y del resultado de las medidas para mejor proveer que hubiere dispuesto, en su caso- dictará resolución disponiendo, según corresponda:

1. La recategorización del pequeño contribuyente, indicando:

a) La fecha a partir de la cual operará la misma.
b) Los montos adeudados en concepto de impuesto integrado, cotización previsional y accesorios, acompañando la liquidación practicada.
c) La sanción aplicada, haciéndole saber que si acepta la recategorización practicada dentro del plazo de 15 días de su notificación, dicha sanción quedará reducida de pleno derecho a la mitad.

2. El archivo de las actuaciones.
No se emitirá la resolución si el contribuyente se recategoriza correctamente y de manera voluntaria con anterioridad al dictado de la misma.

Fuente: Art. 25 RG 4309/18"
89,"Si, podrá interponerse el recurso de apelación ante el Director General, previsto en el artículo 74 del decreto 1397/1979.
El escrito respectivo deberá ser presentado ante el funcionario que dictó el acto recurrido, dentro de los 15 días de su notificación.
Fuente: Arts. 28 y 56 RG 4309/18"
90,"Las personas humanas que realicen venta de cosas muebles, locaciones y/o prestaciones de servicios, incluida la actividad primaria.
Las personas humanas integrantes de cooperativas de trabajo.
Las sucesiones indivisas en su carácter de continuadoras de las mismas, hasta la finalización del mes en que se dicte la declaratoria de herederos, se declare la validez del testamento que verifique la misma finalidad o se cumpla un año dese el fallecimiento del causante, lo que suceda primero.

Fuente: Art. 2 Ley 26.565"
91,"Para que un contribuyente pueda categorizarse como monotributista, deberán verificarse todas las condiciones que se citan:
a) Que haya obtenido ingresos brutos inferiores o iguales a la suma de $ 1.151.066,58 en los doce meses calendario inmediatos anteriores a la fecha de adhesión, o, de tratarse de venta de cosas muebles, que no supere la suma de $ 1.726.599,88.
b) Que no supere en el período indicado en el inciso a), los parámetros máximos de las magnitudes físicas, y alquileres devengados que se establecen para su categorización, a los efectos del pago del impuesto integrado que les correspondiera realizar. Para conocer estos parámetros ingrese aquí.
c) Que el precio máximo unitario de venta -sólo en los casos de venta de cosas muebles- no supere el importe de $19269,00,
d) Que no haya realizado importaciones de cosas muebles y/o de servicios, durante los últimos doce meses del año calendario.
e) Que no desarrolle más de tres actividades simultáneas o no posea más de tres unidades de explotación.
Fuente: Art. 2 Ley 26.565"
92,"No se encuentran comprendidos en el Régimen de Monotributo los ingresos provenientes de prestaciones e inversiones financieras, compraventa de valores mobiliarios y de participaciones en las utilidades de cualquier sociedad no incluida en el mismo.


Fuente: Art. 1 Decreto 1/2010"
93,"No podrá optar por el Monotributo en caso de haber realizado importaciones de cosas muebles y/o de servicios para su comercialización posterior, durante los últimos doce meses del año calendario.
Fuente: Art. 2 Ley 26.565"
94,"Si, podrá realizarlas ya que las mismas no se encuentran excluidas del monotributo.
Fuente: Ley 26.565"
95,"En la medida que la actividad encuadrada en el Monotributo cumpla con los requisitos para optar por el régimen, puede mantener la inscripción en el mismo.

Por otra parte, ante la situación planteada, podrá mantener su inscripción en el Régimen General por la actividad exenta en IVA - tributando Impuesto a las Ganancias por las rentas obtenidas - , no obstante lo cual deberá considerar la totalidad de los ingresos brutos obtenidos a los efectos de su categorización en el Monotributo así como su consideración para la determinación de la exclusión en el citado régimen, a excepción de los indicados en el párrafo siguiente.
Cuando los ingresos obtenidos por la actividad del Régimen General - exenta en IVA - estén originados en el ejercicio de la dirección, administración, conducción de sociedades no comprendidas en el Monotributo, no deberán computarse a los fines de su categorización, recategorización o exclusión en el mencionado Monotributo. A modo de aclaración, se mencionan las actividades exentas cuyos ingresos brutos no resultan computables:

- Director de SA.

- Socio Gerente de SRL.
Fuente: CIT AFIP"
96,"Si, podrá tener empleados y deberá ingresar, por los mismos, los aportes, contribuciones y cuotas establecidos en el Régimen General de Seguridad Social.
Si desea conocer como solicitar el alta como empleador y como registrar a sus empleados, podrá consultar el ID 402692.
Fuente: Art. 38 Anexo Ley 24.977"
97,"Podrá optar por inscribirse como Monotributista siempre y cuando cumpla con los parámetros establecidos por el régimen.
Asimismo, se aclara que en caso de inicio de actividades, el monotributista deberá encuadrarse en la categoría que le corresponda de conformidad a la superficie que tenga afectada a la actividad, de no contar con tales referencias se categorizará inicialmente mediante una estimación razonable de sus ingresos brutos.
Cuando se produzca el cese de actividades, deberá solicitar la correspondiente baja.
Fuente: Art. 8 Ley 26.565"
98,"El Régimen Simplificado para Pequeños Contribuyentes no está instrumentado para sujetos residentes en el exterior.
Fuente: Ley 26.565"
99,"Sí, la condición de pequeño contribuyente por otra actividad, no es incompatible con el desempeño de actividades en relación de dependencia, como tampoco con la percepción de prestaciones en concepto de jubilación, pensión o retiro, correspondiente a alguno de los regímenes nacionales o provinciales.
Se aclara que en este caso, se encontrará eximido de abonar las cotizaciones previsionales fijas (Jubilación y Obra Social).
Fuente: Art. 40 Ley 26.565"
100,"Resulta incompatible la condición de pequeño contribuyente con el desarrollo de alguna actividad por la cual el sujeto conserve su carácter de responsable inscripto en el Impuesto al Valor Agregado.
Fuente: Art. 1 Decreto 1/2010"
101,"No, ya que dicha actividad constituye operaciones de ""venta"" y no ""prestación de servicios"", con lo cual deberá considerar el parámetro de precio máximo unitario de venta de $ 15.000, al superar el mismo queda excluido del Régimen de Monotributo, debiendo inscribirse en el régimen general en los tributos que correspondan.
Fuente: CIT AFIP"
102,"Podrá ser monotributista, siempre que cumpla las condiciones para estar dentro del régimen. Para conocer los requisitos exigidos ingrese aquí.
Fuente: CIT AFIP"
103,"Si, puede ser monotributista.
Fuente: Art. 47 Ley 26.565"
104,"Atento lo previsto en los artículos 284, siguientes y concordantes de la Ley General de Sociedades Nº 19.550, las funciones de los síndicos responden, entre otras, a la verificación y fiscalización de la administración de la sociedad, como así también controlar que los órganos sociales den debido cumplimiento a la ley, estatuto, reglamento y decisiones asambleístas. Sentado ello, podrán hacer uso de la opción para el Régimen Simplificado (Monotributo), aquellos sujetos cuyos ingresos provengan del ejercicio de las funciones de síndicos societarios, atento a no encuadrar en lo dispuesto en el artículo 4 del Decreto 1/2010.

Fuente: CIT AFIP"
